count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
14,0,3,,,2032,,{},1077,,Ayacucho Quechua (SAPHON 2032),1920,,http://linguistics.berkeley.edu/~saphon/en/inv/AyacuchoQ.html
15,0,10,,,2898,,{},1142,,Ayapathu (ER 2898),725,,
39,0,4,,,2707,,{},1299,,Ayerrerenge (ER 2707),1914,,
26,0,6,,,1851,,{},2176,,Aymara (SAPHON 1851),2500,,http://linguistics.berkeley.edu/~saphon/en/inv/Aymara.html
28,0,3,,,2145,,{},2176,,Aymara (SAPHON 2145),2526,,http://linguistics.berkeley.edu/~saphon/en/inv/AymaraC.html
36,0,6,,,105,,{},230,,Aymara (SPA 105),1709,,https://archive.org/details/ayr_SPA1979_phon
20,0,10,,,2137,,{},2050,,Ayoreo (SAPHON 2137),2373,,http://linguistics.berkeley.edu/~saphon/en/inv/Ayoreo.html
19,0,16,,,645,,{},1938,,AZANDE (UPSID 645),157,,http://web.phonetik.uni-frankfurt.de/L/L4130.html
25,0,9,,,187,,{},1405,,Azerbaijani (SPA 187),1460,,https://archive.org/details/aze_SPA1979_phon
24,0,9,,,236,,{},1405,,AZERBAIJANI (UPSID 236),166,,http://web.phonetik.uni-frankfurt.de/L/L2159.html
13,0,6,,,2734,,{},1710,,Baanbay (ER 2734),1824,,
26,0,7,,,1179,,{},1512,,Babanki (PH 1179),2515,,
23,0,7,,,1178,,{},663,,Baba (PH 1178),1418,,
21,4,6,,,1247,,{},160,,babole (GM 1247),2293,,
56,9,17,,,661,,{},1638,,babungo (AA 661),2001,,
25,0,13,,,1708,,{},1342,,Badaga (RA 1708),3010,,
33,4,9,,,1437,,{},446,,Bade (GM 1437),924,,
20,0,3,,,2768,,{},2162,,Badimaya (ER 2768),1537,,
27,4,20,,,1444,,{},718,,Bafia (GM 1444),686,,
27,4,16,,,926,,{},516,,Bafo (PH 926),953,,
21,10,18,,,662,,{},1504,,bafut (AA 662),2120,,
17,0,8,,,1060,,{},450,,Baga Koga; Koba; Barka (PH 1060),433,,
18,0,8,,,1199,,{},2138,,Baga Sitem (PH 1199),1836,,
29,3,16,,,1469,,{},1189,,Bagirmi (GM 1469),3007,,
40,0,26,,,2346,,{},1635,,Baima (EA 2346),1693,,http://eurphon.info/languages/html?lang_id=32
14,0,8,,,267,,{},139,,BAINING (UPSID 267),1045,,http://web.phonetik.uni-frankfurt.de/L/L8631.html
18,0,11,,,244,,{},2010,,BAI (UPSID 244),1514,,http://web.phonetik.uni-frankfurt.de/L/L2506.html
17,0,6,,,1081,,{},1584,,"Bajau, West Coast; Land Bajaw; West Coast Bajao (PH 1081)",736,,
25,6,7,,,663,,{},2142,,baka (AA 663),1689,,
36,0,10,,,1249,,{},1723,,baka (GM 1249),861,,
25,3,7,,,1574,,{},2142,,Baka (GM 1574),1182,,
16,0,14,,,1865,,{},2019,,Bakairí (SAPHON 1865),504,,http://linguistics.berkeley.edu/~saphon/en/inv/BakairiE.html
16,0,12,,,1866,,{},2019,,Bakairí (SAPHON 1866),569,,http://linguistics.berkeley.edu/~saphon/en/inv/BakairiW.html
17,0,12,,,254,,{},2019,,BAKAIRI (UPSID 254),1664,,http://web.phonetik.uni-frankfurt.de/L/L6856.html
15,2,14,,,1556,,{},931,,Bakaka (Babong) (GM 1556),210,,
16,2,14,,,1557,,{},931,,Bakaka (Mkaa') (GM 1557),1558,,
19,2,13,,,1555,,{},931,,Bakaka (Mwaneka) (GM 1555),1077,,
21,0,10,,,2901,,{},31,,Bakanh (ER 2901),1802,,
24,0,12,,,2249,,{},1825,,Bakhtiari (EA 2249),92,,http://eurphon.info/languages/html?lang_id=313
26,0,7,,,1180,,{},824,,Bakoko (PH 1180),2483,,
33,3,14,,,1391,,{},1835,,Balante (GM 1391),2894,,
17,0,5,,,2864,,{},1334,,Balardung (ER 2864),2110,,
29,3,10,,,1636,,{},1735,,Balese (GM 1636),1115,,
23,5,14,,,1181,,{},1006,,Bali-Kumbat (PH 1181),2056,,
18,0,6,,,1693,,{},729,,Balinese (GM 1693),2360,,
35,0,5,,,2306,,{},634,,Balti (Kharkoo) (EA 2306),1734,,http://eurphon.info/languages/html?lang_id=143
35,0,18,,,1709,,{},634,,Balti (RA 1709),55,,
32,2,24,,,1496,,{},973,,Bamana (GM 1496),2967,,
34,5,18,,,1204,,{},1211,,Bambalang; Círàmbɔ́ (PH 1204),1200,,
20,2,21,,,664,,{},973,,bambara (AA 664),2083,,
21,0,14,,,238,,{},973,,BAMBARA (UPSID 238),2348,,http://web.phonetik.uni-frankfurt.de/L/L4105.html
23,0,9,,,1182,,{},863,,Bamunka (PH 1182),2214,,
37,4,3,,,1248,,{},1187,,bana (GM 1248),1066,,
32,5,8,,,665,,{},165,,banda (AA 665),365,,
33,3,10,,,666,,{},165,,banda (AA 666),11,,
18,0,5,,,1685,,{},1539,,Banda Malay (GM 1685),2560,,
31,5,10,,,1308,,{},1928,,"Banda, West Central (GM 1308)",1177,,
23,4,21,,,667,,{},1169,,bandi (AA 667),1000,,https://archive.org/details/rosettaproject_bza_ortho-1
12,0,4,,,248,,{},2143,,BANDJALANG (UPSID 248),2944,,http://web.phonetik.uni-frankfurt.de/L/L8368.html
20,0,6,,,2875,,{},687,,Bandjigali (ER 2875),511,,
27,4,9,,,1183,,{},822,,Bangolan (PH 1183),2220,,
16,0,8,,,1811,,{},720,,Baniwa (SAPHON 1811),95,,http://linguistics.berkeley.edu/~saphon/en/inv/Baniwa.html
18,0,8,,,1812,,{},720,,Baniwa (SAPHON 1812),2945,,http://linguistics.berkeley.edu/~saphon/en/inv/Baniva.html
24,0,10,,,1710,,{},1205,,Banjara (RA 1710),2769,,
